Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUD/USD,0.70461,0.00015,-2.04,1.09,0.0001,0.1,6.97,100,1000,0,AUD/USD
EUR/CHF,1.12756,0.00014,-0.69,-3.34,0.0001,0.101,11.16,100,1000,0,EUR/CHF
EUR/USD,1.14471,0.00015,-9.59,8.05,0.0001,0.1,11.33,100,1000,0,EUR/USD
GBP/USD,1.26402,0.00013,-6.62,4.57,0.0001,0.1,12.51,100,1000,0,GBP/USD
GER30,10536.59,1,-0.75,-0.67,0.01,0.011,112.56,100,1,0,DEU.IDX/EUR
NAS100,7417,3.062,-0.39,-0.35,0.01,0.012,55.42,100,1,0,USATECH.IDX/USD
SPX500,2495.53,0.5,-0.16,-0.14,0.01,0.013,23.56,100,1,0,USA500.IDX/USD
UK100,6682.77,1,-0.52,-0.46,0.01,0.012,80.2,100,1,0,GBR.IDX/GBP
US30,25319,2,-1.45,-1.3588,0.01,0.011,203.12,100,1,0,USA30.IDX/USD
USD/CAD,1.36147,0.0001,2.07,-3.42,0.0001,0.076,13.48,100,1000,0,USD/CAD
USD/CHF,0.98495,0.00022,7.83,-10,0.0001,0.101,9.75,100,1000,0,USD/CHF
USD/JPY,110.38,0.004,6.44,-80.7,0.01,0.09,11.33,100,1000,0,USD/JPY
XAG/USD,15.3,0.046,-0.08,0.03,0.01,0.5,7.86,100,50,0,XAG/USD
XAU/USD,1276.78,0.31,-0.11,0.06,0.01,0.01,12.435,100,1,0,XAU/USD
